Date,Open,High,Low,Close,symbol,shortName,longName,financialCurrency,sector,currency,industry,country,market
2020-07-15 00:00:00,179.86123595985828,181.45257574311066,177.00270598788873,177.83766174316406,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-16 00:00:00,177.79836671617295,178.15199942632395,175.7355067421449,176.81605529785156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-17 00:00:00,178.07340874187057,178.69226971805045,176.11860366701944,176.62940979003906,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-20 00:00:00,176.78658327722644,177.05181155124356,172.61175984092043,172.74928283691406,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-21 00:00:00,174.85143699194242,175.32294228806714,173.1422096837761,175.14613342285156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-22 00:00:00,175.18541671665093,175.3229397172075,172.10095942798202,173.80035400390625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-23 00:00:00,173.91825264458927,177.98502162163828,173.67267477160593,175.95162963867188,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-24 00:00:00,177.61173168109724,180.91229876760855,176.7276573676445,177.81802368164062,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-27 00:00:00,176.71780916669292,176.9044507248964,172.2875902915302,172.39564514160156,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-28 00:00:00,172.14026191382328,174.7237308051644,171.10883190541145,172.6412353515625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
2020-07-29 00:00:00,173.9870030348075,180.09698158661902,173.48602958034294,178.584228515625,CI,Cigna Corporation,Cigna Corporation,USD,Healthcare,USD,Healthcare Plans,United States,us_market
